     Yi/Gi      Z/B      Cr/U2     Cu/U2  
    .79078    .15000    .08710    .36250
    .79460    .15000    .08343    .35525
    .79874    .15000    .07927    .34581
    .80256    .15000    .07493    .33664
    .81052    .15000    .07222    .31832
    .82643    .15000    .08661    .29127
    .84235    .15000    .10890    .28722
    .85826    .15000    .12153    .29946
    .87418    .15000    .13049    .29321
    .89009    .15000    .13594    .29884
    .90601    .15000    .14235    .30401
    .93784    .15000    .14069    .31375
    .96967    .15000    .14259    .31972
   1.00150    .15000    .14657    .32123
   1.01742    .15000    .15013    .32215
   1.03333    .15000    .15360    .32240
   1.09782    .15000    .17485    .30616
   1.13443    .15000    .18167    .26954
   1.17103    .15000    .13486    .21507
   1.20286    .15000    .04637    .27819
   1.21878    .15000    .04769    .30932
   1.23470    .15000    .05577    .33563
   1.25061    .15000    .06379    .36384
   1.26653    .15000    .05629    .39627
   1.29836    .15000   -.00014    .43915
   1.33019    .15000   -.00691    .49820
   1.34610    .15000   -.00554    .50925
   1.35406    .15000   -.00593    .54943
   1.36202    .15000   -.00605    .54146
   1.36998    .15000   -.01150    .53727
   1.37412    .15000   -.01110    .53178
   1.37793    .15000   -.00668    .52477
   1.38207    .15000   -.00151    .53370
   1.38589    .15000    .00213    .54193
   1.39385    .15000    .00481    .52191
   1.40977    .15000    .04220    .51146
   1.42568    .15000    .10388    .51914
   1.44160    .15000    .12802    .50079
   1.45751    .15000    .13758    .51430
   1.47343    .15000    .11131    .49773
   1.48934    .15000    .08192    .47513
   1.52117    .15000    .12312    .39867
   1.55300    .15000    .18363    .33348
   1.58484    .15000    .19148    .33370
   1.60075    .15000    .19019    .34065
   1.61667    .15000    .18811    .34815
   1.68116    .15000    .15250    .35655
   1.71776    .15000    .14990    .34413
   1.75437    .15000    .15085    .34165
   1.78620    .15000    .14599    .35311
   1.80211    .15000    .14229    .35916
   1.81803    .15000    .13955    .36421
   1.83394    .15000    .13587    .36674
   1.84986    .15000    .13324    .36785
   1.88169    .15000    .13627    .36672
   1.91352    .15000    .12559    .36887
   1.92944    .15000    .11678    .36905
   1.93739    .15000    .10720    .36863
   1.94535    .15000    .10008    .36337
   1.95331    .15000    .09054    .35582
   1.95745    .15000    .08810    .35095
   1.96127    .15000    .08545    .34640
   1.96541    .15000    .08089    .33788
   1.96923    .15000    .07637    .32957
   1.97718    .15000    .08039    .31799
    .00437    .20000    .14660    .35816
    .03620    .20000    .14791    .35264
    .05211    .20000    .14994    .34740
    .06803    .20000    .15231    .34007
    .08394    .20000    .15491    .32840
    .09986    .20000    .15918    .31397
    .13169    .20000    .15779    .25813
    .16352    .20000    .10108    .18620
    .17944    .20000    .06114    .20207
    .18740    .20000    .04307    .21967
    .19535    .20000    .03616    .23341
    .20331    .20000    .03330    .24167
    .20745    .20000    .03107    .24602
    .21127    .20000    .02906    .24972
    .21541    .20000    .02935    .25124
    .21923    .20000    .02877    .25180
    .22718    .20000    .02535    .25340
    .24310    .20000    .00614    .26991
    .25901    .20000   -.00233    .30715
    .27493    .20000    .00096    .35589
    .29085    .20000    .01536    .40938
    .30676    .20000    .01901    .46633
    .32268    .20000    .03958    .49963
    .35451    .20000    .03278    .49913
    .38634    .20000    .01381    .49221
    .41817    .20000    .07016    .48690
    .43408    .20000    .11513    .46052
    .45000    .20000    .16182    .41986
    .51449    .20000    .18855    .37415
    .55110    .20000    .16875    .38409
    .58770    .20000    .15293    .38111
    .61953    .20000    .15404    .36547
    .63545    .20000    .15809    .36044
    .65136    .20000    .16280    .35842
    .66728    .20000    .16234    .36114
    .68319    .20000    .15943    .36616
    .71502    .20000    .13961    .38033
    .74686    .20000    .11885    .38762
    .76277    .20000    .10301    .38851
    .77073    .20000    .10185    .38640
    .77869    .20000    .09104    .38120
    .78664    .20000    .08317    .37541
    .79078    .20000    .07920    .36969
    .79460    .20000    .07488    .36413
    .79874    .20000    .07241    .35630
    .80256    .20000    .07056    .34888
    .81052    .20000    .07310    .33323
    .82643    .20000    .08985    .30571
    .84235    .20000    .10818    .29956
    .85826    .20000    .12110    .29968
    .87418    .20000    .13359    .30025
    .89009    .20000    .13582    .30814
    .90601    .20000    .13802    .31554
    .93784    .20000    .14003    .32375
    .96967    .20000    .14358    .32960
   1.00150    .20000    .14748    .33144
   1.01742    .20000    .15175    .33097
   1.03333    .20000    .15602    .33074
   1.09782    .20000    .16846    .31576
   1.13443    .20000    .17266    .27488
   1.17103    .20000    .11415    .21541
   1.20286    .20000    .04781    .29370
   1.21878    .20000    .04972    .32854
   1.23470    .20000    .05546    .36686
   1.25061    .20000    .04644    .41152
   1.26653    .20000    .02251    .46291
   1.29836    .20000    .00497    .47941
   1.33019    .20000   -.00092    .44234
   1.34610    .20000   -.01095    .46090
   1.35406    .20000   -.00033    .48142
   1.36202    .20000    .00314    .49087
   1.36998    .20000    .00331    .51483
   1.37412    .20000    .00139    .51603
   1.37793    .20000    .00006    .51636
   1.38207    .20000    .00388    .51991
   1.38589    .20000    .00504    .52380
   1.39385    .20000   -.00164    .52290
   1.40977    .20000    .04450    .51482
   1.42568    .20000    .08564    .50513
   1.44160    .20000    .11437    .50331
   1.45751    .20000    .11681    .50076
   1.47343    .20000    .08514    .48894
   1.48934    .20000    .05809    .47215
   1.52117    .20000    .10713    .40551
   1.55300    .20000    .18302    .33540
   1.58484    .20000    .19124    .34089
   1.60075    .20000    .18713    .34872
   1.61667    .20000    .18123    .35627
   1.68116    .20000    .13880    .36547
   1.71776    .20000    .14680    .34910
   1.75437    .20000    .15601    .34761
   1.78620    .20000    .14892    .36281
   1.80211    .20000    .14364    .36997
   1.81803    .20000    .13833    .37673
   1.83394    .20000    .13485    .37883
   1.84986    .20000    .13270    .37924
   1.88169    .20000    .12996    .37736
   1.91352    .20000    .12778    .38104
   1.92944    .20000    .11597    .37881
   1.93739    .20000    .11182    .37818
   1.94535    .20000    .10282    .37075
   1.95331    .20000    .09521    .36696
   1.95745    .20000    .09139    .36171
   1.96127    .20000    .08785    .35664
   1.96541    .20000    .08501    .35317
   1.96923    .20000    .08222    .34989
   1.97718    .20000    .07962    .34174
    .00437    .27500    .19465    .40307
    .03620    .27500    .20233    .40027
    .05211    .27500    .20761    .39618
    .06803    .27500    .21329    .38875
    .08394    .27500    .21961    .37793
    .09986    .27500    .22498    .36387
