     R/R2    Teta(deg)    Cp    
    .78571    52.868    .22341
    .78571    53.277    .22750
    .78571    53.686    .22842
    .78571    54.095    .23426
    .78571    54.308    .23581
    .78571    54.505    .23636
    .78571    54.718    .23764
    .78571    54.914    .23842
    .78571    55.323    .24534
    .78571    56.142    .25603
    .78571    56.960    .27025
    .78571    57.779    .27924
    .78571    58.597    .29539
    .78571    59.416    .30469
    .78571    60.234    .31693
    .83333   -30.833    .43899
    .83333   -29.196    .45573
    .83333   -28.377    .46789
    .83333   -27.968    .46672
    .83333   -27.559    .47029
    .83333   -27.149    .47894
    .83333   -26.936    .47916
    .83333   -26.740    .47973
    .83333   -26.527    .48304
    .83333   -26.330    .48642
    .83333   -25.922    .49561
    .83333   -25.103    .50391
    .83333   -24.285    .51893
    .83333   -23.466    .51879
    .83333   -22.647    .52351
    .83333   -21.829    .52897
    .83333   -21.010    .53560
    .83333   -19.373    .54062
    .83333   -17.736    .53956
    .83333   -16.099    .52558
    .83333   -15.281    .49163
    .83333   -14.462    .41809
    .83333   -11.146    .21561
    .83333    -9.263    .21659
    .83333    -7.380    .18939
    .83333    -5.743    .15183
    .83333    -4.925    .14020
    .83333    -4.106    .13368
    .83333    -3.288    .12939
    .83333    -2.469    .13607
    .83333     -.833    .16165
    .83333      .804    .18504
    .83333     1.623    .19266
    .83333     2.033    .19747
    .83333     2.442    .20584
    .83333     2.851    .20617
    .83333     3.064    .20664
    .83333     3.260    .20679
    .83333     3.473    .20646
    .83333     3.670    .20537
    .83333     4.079    .20490
    .83333     4.897    .20901
    .83333     5.716    .22654
    .83333     6.534    .22635
    .83333     7.353    .23555
    .83333     8.171    .24369
    .83333     8.990    .24947
    .83333    10.627    .27618
    .83333    12.264    .28919
    .83333    13.901    .31113
    .83333    14.720    .32051
    .83333    15.538    .32846
    .83333    18.855    .37791
    .83333    20.737    .41215
    .83333    22.620    .42817
    .83333    24.257    .46330
    .83333    25.075    .48075
    .83333    25.894    .49802
    .83333    26.712    .50515
    .83333    27.531    .51217
    .83333    29.168    .53351
    .83333    30.805    .55599
    .83333    31.623    .55944
    .83333    32.033    .56391
    .83333    32.442    .56770
    .83333    32.851    .56938
    .83333    33.064    .56899
    .83333    33.260    .56832
    .83333    33.473    .56842
    .83333    33.670    .56791
    .83333    34.079    .56957
    .83333    34.898    .57711
    .83333    35.716    .59982
    .83333    36.535    .58060
    .83333    37.353    .54968
    .83333    38.172    .49982
    .83333    38.990    .43393
    .83333    40.627    .30531
    .83333    42.264    .28026
    .83333    43.901    .25132
    .83333    44.720    .23738
    .83333    45.538    .21758
    .83333    48.855    .16586
    .83333    50.737    .18339
    .83333    52.620    .21287
    .83333    54.257    .24585
    .83333    55.075    .26060
    .83333    55.894    .27036
    .83333    56.712    .27485
    .83333    57.531    .27845
    .83333    59.168    .29187
    .83333    60.805    .31463
    .83333    61.624    .32496
    .83333    62.033    .33317
    .83333    62.442    .33736
    .83333    62.852    .34249
    .83333    63.064    .34435
    .83333    63.261    .34609
    .83333    63.474    .34863
    .83333    63.670    .35197
    .83333    64.079    .35673
    .83333    64.898    .36784
    .83333    65.716    .40112
    .83333    66.535    .41077
    .83333    67.354    .41281
    .83333    68.172    .42299
    .83333    68.991    .43771
    .88095   -22.325    .53110
    .88095   -20.688    .54450
    .88095   -19.869    .54934
    .88095   -19.460    .55454
    .88095   -19.051    .55451
    .88095   -18.642    .55818
    .88095   -18.429    .55889
    .88095   -18.232    .56060
    .88095   -18.019    .56108
    .88095   -17.823    .56146
    .88095   -17.414    .56609
    .88095   -16.595    .57340
    .88095   -15.777    .57868
    .88095   -14.958    .57857
    .88095   -14.140    .58545
    .88095   -13.321    .58719
    .88095   -12.503    .58683
    .88095   -10.866    .59073
    .88095    -9.229    .58399
    .88095    -7.592    .57959
    .88095    -6.773    .55465
    .88095    -5.955    .48905
    .88095    -2.638    .24035
    .88095     -.756    .24444
    .88095     1.127    .22004
    .88095     2.764    .20767
    .88095     3.583    .18889
    .88095     4.401    .17872
    .88095     5.220    .18140
    .88095     6.038    .18796
    .88095     7.675    .22371
    .88095     9.312    .24496
    .88095    10.131    .25841
    .88095    10.540    .26876
    .88095    10.950    .29034
    .88095    11.358    .29509
    .88095    11.571    .29802
    .88095    11.768    .30016
    .88095    11.981    .30071
    .88095    12.177    .30083
    .88095    12.587    .30542
    .88095    13.405    .30945
    .88095    14.224    .31684
    .88095    15.042    .33507
    .88095    15.861    .35012
    .88095    16.679    .36627
    .88095    17.497    .38431
    .88095    19.134    .41507
    .88095    20.771    .43582
    .88095    22.408    .45751
    .88095    23.227    .46643
    .88095    24.045    .47615
    .88095    27.362    .50196
    .88095    29.245    .52860
    .88095    31.127    .54418
    .88095    32.764    .56672
    .88095    33.583    .57583
    .88095    34.402    .58394
    .88095    35.220    .58973
    .88095    36.039    .59520
    .88095    37.676    .61410
    .88095    39.313    .61656
    .88095    40.131    .61998
    .88095    40.540    .62307
    .88095    40.950    .63208
    .88095    41.359    .63270
    .88095    41.572    .62936
    .88095    41.768    .62631
    .88095    41.981    .62758
    .88095    42.177    .62896
    .88095    42.587    .62788
    .88095    43.405    .62721
    .88095    44.224    .63304
    .88095    45.042    .63523
    .88095    45.861    .62984
    .88095    46.679    .60686
    .88095    47.498    .53001
    .88095    49.135    .36478
    .88095    50.772    .31726
    .88095    52.409    .31905
    .88095    53.227    .30496
    .88095    54.046    .29004
    .88095    57.363    .24973
    .88095    59.245    .27472
    .88095    61.128    .32329
    .88095    62.765    .35554
    .88095    63.583    .36975
    .88095    64.402    .38492
    .88095    65.220    .39441
    .88095    66.039    .40256
    .88095    67.676    .42385
    .88095    69.313    .44014
    .88095    70.131    .45552
    .88095    70.540    .46640
    .88095    70.950    .48970
    .88095    71.359    .49367
    .88095    71.572    .49505
    .88095    71.768    .49714
    .88095    71.981    .50106
    .88095    72.178    .50487
    .88095    72.587    .50947
    .88095    73.405    .51880
    .88095    74.224    .53549
    .88095    75.042    .54273
    .88095    75.861    .55264
    .88095    76.679    .56397
    .88095    77.498    .57774
    .92857   -14.121    .53807
    .92857   -12.484    .55404
    .92857   -11.665    .56081
    .92857   -11.256    .56560
    .92857   -10.847    .56751
    .92857   -10.437    .56703
    .92857   -10.224    .57095
    .92857   -10.028    .57524
    .92857    -9.815    .57528
    .92857    -9.618    .57549
    .92857    -9.210    .57005
    .92857    -8.391    .57550
    .92857    -7.573    .57743
    .92857    -6.754    .58143
    .92857    -5.935    .58224
    .92857    -5.117    .58401
    .92857    -4.298    .58023
    .92857    -2.661    .58759
    .92857    -1.024    .57417
    .92857      .613    .57312
    .92857     1.431    .55960
    .92857     2.250    .53700
    .92857     5.567    .31693
    .92857     7.449    .23727
    .92857     9.332    .22540
    .92857    10.969    .23153
    .92857    11.787    .22783
    .92857    12.606    .22762
    .92857    13.424    .24192
    .92857    14.243    .26088
    .92857    15.880    .29137
    .92857    17.517    .34343
    .92857    18.335    .36954
    .92857    18.745    .38399
    .92857    19.154    .39801
    .92857    19.563    .40639
    .92857    19.776    .40712
    .92857    19.972    .40631
    .92857    20.185    .41445
    .92857    20.382    .42223
    .92857    20.791    .44264
    .92857    21.609    .46608
    .92857    22.428    .48372
    .92857    23.246    .50172
    .92857    24.065    .50638
    .92857    24.883    .51202
    .92857    25.702    .51196
    .92857    27.339    .51536
    .92857    28.976    .51485
    .92857    30.613    .51746
    .92857    31.432    .51604
    .92857    32.250    .51745
    .92857    35.567    .53787
    .92857    37.449    .56390
    .92857    39.332    .58174
    .92857    40.969    .59422
    .92857    41.787    .59803
    .92857    42.606    .60080
    .92857    43.424    .60933
    .92857    44.243    .61482
    .92857    45.880    .61506
    .92857    47.517    .63014
    .92857    48.335    .63431
    .92857    48.745    .63380
    .92857    49.154    .63583
    .92857    49.564    .63689
    .92857    49.776    .63615
    .92857    49.972    .63501
    .92857    50.185    .63519
    .92857    50.382    .63555
    .92857    50.791    .63918
    .92857    51.610    .64032
    .92857    52.428    .64523
    .92857    53.247    .64416
    .92857    54.065    .64182
    .92857    54.884    .63630
    .92857    55.702    .60996
    .92857    57.339    .45991
    .92857    58.976    .35338
    .92857    60.614    .33994
    .92857    61.432    .33948
    .92857    62.251    .34027
    .92857    65.567    .33852
    .92857    67.449    .38036
    .92857    69.332    .44646
    .92857    70.969    .49605
    .92857    71.788    .52146
